Area,Lengths,Widths,Ratios
6766,281,25.45584412271571,11.038722528523325
7369,314,26.90724809414742,11.669718096080512
7060,302,25.45584412271571,11.86368043990763
7522,330,29.120439557122072,11.332246525766845
7172,320,28.635642126552707,11.17488473231325
7367,353,28.635642126552707,12.327294720333056
7484,294,26.90724809414742,10.926423949833346
7077,312,26.832815729997478,11.627553482998906
8103,394,28.42534080710379,13.86087163118675
6810,328,25.059928172283335,13.088624905269004
5944,284,23.323807579381203,12.176399545118127
6868,364,25.059928172283335,14.525181297310723
7445,304,26.90724809414742,11.298071022956929
